broker;asset_rollup;optie_exp_date;optie_strike;optie_call_put;qty_open;ib_currency;option_price;underlying_close;intrinsic_per_unit;time_value_per_unit;time_value_signed_ccy;time_value_abs_ccy;series_id;snapshot_ts
lynx;BMW;2026-03-20;81,0;put;-200,0;EUR;1,56;81,28;0,0;1,56;-312,0;312,0;87;2026-03-15 10:22:47
degiro;BMW;2026-03-20;82,0;put;-300,0;EUR;2,02;81,28;0,72;1,3;-390,0;390,0;9;2026-03-15 10:22:47
lynx;BNP;2026-03-20;84,0;put;-200,0;EUR;1,76;85,14;0,0;1,76;-352,0;352,0;88;2026-03-15 10:22:47
interactive;BNP;2026-03-20;89,0;put;-200,0;EUR;4,36;85,14;3,86;0,5;-100,0;100,0;41;2026-03-15 10:22:47
interactive;CAMECO;2026-03-20;117,0;put;-300,0;USD;5,51;107,92;9,08;0,0;-0,0;0,0;42;2026-03-15 10:22:47
degiro;CSG;2026-03-20;32,0;call;-100,0;EUR;0,14;27,825;0,0;0,14;-14,0;14,0;10;2026-03-15 10:22:47
degiro;CSG;2026-03-20;30,0;put;-100,0;EUR;1,87;27,825;2,175;0,0;-0,0;0,0;11;2026-03-15 10:22:47
degiro;DANONE;2026-03-20;72,0;call;-200,0;EUR;0,42;71,78;0,0;0,42;-84,0;84,0;12;2026-03-15 10:22:47
interactive;DHL;2026-03-20;47,0;call;-100,0;EUR;0,53;45,13;0,0;0,53;-53,0;53,0;43;2026-03-15 10:22:47
lynx;DHL;2026-03-20;47,0;call;-200,0;EUR;0,53;45,13;0,0;0,53;-106,0;106,0;43;2026-03-15 10:22:47
interactive;DHL;2026-03-20;48,0;put;-200,0;EUR;2,31;45,13;2,87;0,0;-0,0;0,0;44;2026-03-15 10:22:47
lynx;FLOW;2026-03-20;26,5;put;-100,0;EUR;0,17;27,94;0,0;0,17;-17,0;17,0;89;2026-03-15 10:22:47
degiro;HEINEKEN;2026-03-20;78,0;call;-200,0;EUR;0,02;71,33;0,0;0,02;-4,0;4,0;14;2026-03-15 10:22:47
lynx;HEINEKEN;2026-03-20;80,0;call;-200,0;EUR;0,01;71,33;0,0;0,01;-2,0;2,0;90;2026-03-15 10:22:47
degiro;HEINEKEN;2026-03-20;80,0;put;-100,0;EUR;10,3;71,33;8,67;1,63;-163,0;163,0;15;2026-03-15 10:22:47
degiro;HEINEKEN;2026-04-17;76,0;put;-200,0;EUR;6,62;71,33;4,67;1,95;-390,0;390,0;13;2026-03-15 10:22:47
interactive;INFINEON;2026-03-20;40,0;put;-200,0;EUR;1,16;39,74;0,26;0,9;-180,0;180,0;45;2026-03-15 10:22:47
degiro;ING;2026-03-20;23,83;call;-200,0;EUR;0,21;22,506;0,0;0,21;-42,0;42,0;16;2026-03-15 10:22:47
lynx;ING;2026-03-20;23,34;put;-1000,0;EUR;0,81;22,506;0,834;0,0;-0,0;0,0;91;2026-03-15 10:22:47
interactive;INTEL;2026-03-20;45,5;call;-500,0;USD;1,69;45,77;0,27;1,42;-710,0;710,0;46;2026-03-14 18:25:02
interactive;ISRG;2026-03-20;490,0;call;-100,0;USD;5,83;472,16;0,0;5,83;-583,0;583,0;47;2026-03-14 18:25:02
interactive;JOBY;2026-03-20;10,0;call;-100,0;USD;0,36;9,7;0,0;0,36;-36,0;36,0;48;2026-03-14 18:25:02
interactive;JOBY;2026-03-20;9,5;put;-100,0;USD;0,31;9,7;0,0;0,31;-31,0;31,0;49;2026-03-14 18:25:02
interactive;KO;2026-03-20;78,0;call;-300,0;USD;0,6;77,34;0,0;0,6;-180,0;180,0;50;2026-03-14 18:25:02
degiro;MAGNUM;2026-03-20;13,0;call;-300,0;EUR;0,6;13,514;0,514;0,086;-25,8;25,8;17;2026-03-14 18:25:02
degiro;MAGNUM;2026-03-20;14,0;call;-100,0;EUR;0,12;13,514;0,0;0,12;-12,0;12,0;18;2026-03-14 18:25:02
degiro;MAGNUM;2026-03-20;16,5;call;-300,0;EUR;;13,514;0,0;;;;19;
lynx;MBITCOIN;2026-03-20;71500,0;put;-0,2;USD;2610,0;71325,0;175,0;2435,0;-487,0;487,0;92;2026-03-14 18:25:02
lynx;MBITCOIN;2026-03-20;71500,0;put;-0,2;USD;2610,0;71325,0;175,0;2435,0;-487,0;487,0;92;2026-03-14 18:25:02
interactive;MDT;2026-03-20;87,0;call;-100,0;USD;1,59;87,14;0,14;1,45;-145,0;145,0;51;2026-03-14 18:25:02
lynx;MT;2026-03-20;47,0;put;-500,0;EUR;1,87;44,73;2,27;0,0;-0,0;0,0;93;2026-03-14 18:25:02
degiro;MT;2026-03-20;48,0;put;-800,0;EUR;2,46;44,73;3,27;0,0;-0,0;0,0;20;2026-03-14 18:25:02
interactive;NEBIUS;2026-03-20;95,0;put;-300,0;USD;1,78;112,95;0,0;1,78;-534,0;534,0;53;2026-03-14 18:25:02
interactive;NEBIUS;2026-03-20;105,0;put;-100,0;USD;4,6;112,95;0,0;4,6;-460,0;460,0;52;2026-03-14 18:25:02
interactive;NIKE;2026-03-27;58,0;call;-100,0;USD;0,48;53,98;0,0;0,48;-48,0;48,0;54;2026-03-14 18:25:02
interactive;O;2026-03-20;65,0;call;-200,0;USD;0,9;64,44;0,0;0,9;-180,0;180,0;55;2026-03-14 18:25:02
lynx;O;2026-03-20;65,0;call;-500,0;USD;0,9;64,44;0,0;0,9;-450,0;450,0;55;2026-03-14 18:25:02
lynx;OKTA;2026-03-20;82,5;call;-100,0;USD;0,98;79,16;0,0;0,98;-98,0;98,0;94;2026-03-14 18:25:02
lynx;OKTA;2026-03-20;90,0;put;-100,0;USD;11,16;79,16;10,84;0,32;-32,0;32,0;95;2026-03-14 18:25:02
interactive;ORACLE;2026-04-17;135,0;put;-100,0;USD;3,12;155,11;0,0;3,12;-312,0;312,0;56;2026-03-14 18:25:02
interactive;PANW;2026-03-20;165,0;call;-100,0;USD;6,11;167,01;2,01;4,1;-410,0;410,0;57;2026-03-14 18:25:02
interactive;PL;2026-03-20;22,0;put;-200,0;USD;1,41;24,79;0,0;1,41;-282,0;282,0;58;2026-03-14 18:25:02
interactive;PL;2026-03-20;23,5;put;-100,0;USD;2,07;24,79;0,0;2,07;-207,0;207,0;59;2026-03-14 18:25:02
interactive;PLTR;2026-03-20;145,0;put;-300,0;USD;2,02;150,95;0,0;2,02;-606,0;606,0;60;2026-03-14 18:25:02
degiro;PROSUS;2026-03-20;48,0;call;-200,0;EUR;0,47;46,608;0,0;0,47;-94,0;94,0;21;2026-03-14 18:25:02
lynx;PROSUS;2026-03-20;48,0;call;-200,0;EUR;0,47;46,608;0,0;0,47;-94,0;94,0;21;2026-03-14 18:25:02
degiro;PROSUS;2026-03-20;48,0;put;-100,0;EUR;3,01;46,608;1,392;1,618;-161,8;161,8;22;2026-03-14 18:25:02
degiro;RDSA;2026-03-20;33,0;call;-400,0;EUR;5,58;38,906;5,906;0,0;-0,0;0,0;23;2026-03-14 18:25:02
lynx;RDSA;2026-03-20;35,0;call;-200,0;EUR;3,6;38,906;3,906;0,0;-0,0;0,0;96;2026-03-14 18:25:02
lynx;RDSA;2026-03-20;36,0;put;-500,0;EUR;0,11;38,906;0,0;0,11;-55,0;55,0;97;2026-03-14 18:25:02
degiro;RELX;2026-03-20;31,0;call;-200,0;EUR;0,4;29,84;0,0;0,4;-80,0;80,0;24;2026-03-14 18:25:02
lynx;RELX;2026-03-20;31,0;call;-300,0;EUR;0,4;29,84;0,0;0,4;-120,0;120,0;24;2026-03-14 18:25:02
degiro;RELX;2026-03-20;30,0;put;-200,0;EUR;0,8;29,84;0,16;0,64;-128,0;128,0;25;2026-03-14 18:25:02
interactive;ROBINHOOD;2026-03-20;80,0;call;-100,0;USD;1,64;73,39;0,0;1,64;-164,0;164,0;61;2026-03-14 18:25:02
interactive;ROBINHOOD;2026-03-20;76,0;put;-300,0;USD;3,15;73,39;2,61;0,54;-162,0;162,0;62;2026-03-14 18:25:02
interactive;ROCKETLAB;2026-03-20;70,0;put;-100,0;USD;4,88;68,41;1,59;3,29;-329,0;329,0;63;2026-03-14 18:25:02
lynx;RTX;2026-03-20;185,0;put;-100,0;USD;0,4;204,52;0,0;0,4;-40,0;40,0;98;2026-03-14 18:25:02
lynx;SERVICENOW;2026-03-20;95,0;put;-100,0;USD;0,26;113,62;0,0;0,26;-26,0;26,0;99;2026-03-14 18:25:02
lynx;SLV;2026-03-16;73,0;put;-200,0;USD;0,59;72,69;0,31;0,28;-56,0;56,0;100;2026-03-14 18:25:02
lynx;SLV;2026-03-16;75,0;put;-100,0;USD;1,08;72,69;2,31;0,0;-0,0;0,0;101;2026-03-14 18:25:02
interactive;SLV;2026-03-18;72,0;put;-300,0;USD;0,92;72,69;0,0;0,92;-276,0;276,0;64;2026-03-14 18:25:02
lynx;SLV;2026-03-18;75,0;put;-100,0;USD;1,75;72,69;2,31;0,0;-0,0;0,0;102;2026-03-14 18:25:02
interactive;SLV;2026-03-20;77,0;put;-100,0;USD;3,15;72,69;4,31;0,0;-0,0;0,0;65;2026-03-14 18:25:02
interactive;SLV;2026-03-20;79,0;put;-100,0;USD;4,28;72,69;6,31;0,0;-0,0;0,0;66;2026-03-14 18:25:02
lynx;SMR;2026-03-20;12,0;call;-200,0;USD;0,68;11,8;0,0;0,68;-136,0;136,0;103;2026-03-14 18:25:02
interactive;SMR;2026-03-20;12,5;call;-100,0;USD;0,48;11,8;0,0;0,48;-48,0;48,0;67;2026-03-14 18:25:02
interactive;SMR;2026-03-20;15,0;put;-100,0;USD;3,32;11,8;3,2;0,12;-12,0;12,0;68;2026-03-14 18:25:02
lynx;SMR;2026-03-20;16,0;put;-200,0;USD;4,29;11,8;4,2;0,09;-18,0;18,0;104;2026-03-14 18:25:02
interactive;SNOW;2026-03-20;180,0;put;-100,0;USD;7,54;178,66;1,34;6,2;-620,0;620,0;69;2026-03-14 18:25:02
degiro;TOTAL;2026-03-20;64,0;put;-100,0;EUR;0,07;72,19;0,0;0,07;-7,0;7,0;26;2026-03-14 18:25:02
lynx;UBER;2026-03-20;74,0;put;-100,0;USD;2,36;73,33;0,67;1,69;-169,0;169,0;105;2026-03-14 18:25:02
interactive;UNH;2026-03-20;287,5;call;-100,0;USD;2,35;282,09;0,0;2,35;-235,0;235,0;70;2026-03-14 18:25:02
lynx;UNH;2026-03-20;290,0;call;-100,0;USD;1,82;282,09;0,0;1,82;-182,0;182,0;106;2026-03-14 18:25:02
lynx;UNILEVER;2026-03-20;60,0;call;-100,0;EUR;;56,16;0,0;;;;107;
degiro;UNILEVER;2026-03-20;62,0;call;-900,0;EUR;;56,16;0,0;;;;27;
degiro;UNILEVER;2026-03-20;57,5;put;-800,0;EUR;1,51;56,16;1,34;0,17;-136,0;136,0;28;2026-03-14 18:25:02
interactive;UPS;2026-03-20;100,0;call;-100,0;USD;1,31;97,21;0,0;1,31;-131,0;131,0;71;2026-03-14 18:25:02
degiro;URW;2026-03-20;98,0;call;-200,0;EUR;0,89;94,06;0,0;0,89;-178,0;178,0;29;2026-03-14 18:25:02
interactive;UVXY;2026-03-20;44,0;put;-100,0;USD;1,31;52,29;0,0;1,31;-131,0;131,0;72;2026-03-14 18:25:02
lynx;VERNOVA;2026-03-20;750,0;put;-100,0;USD;;805,02;0,0;;;;108;
lynx;VOLKSWAGEN;2026-03-20;95,0;call;-200,0;EUR;1,3;90,72;0,0;1,3;-260,0;260,0;109;2026-03-14 18:25:02
lynx;VOLKSWAGEN;2026-03-20;110,0;put;-200,0;EUR;16,65;90,72;19,28;0,0;-0,0;0,0;110;2026-03-14 18:25:02
interactive;VZ;2026-04-17;49,0;call;-300,0;USD;2,4;51,38;2,38;0,02;-6,0;6,0;73;2026-03-14 18:25:02
degiro;WKL;2026-03-20;68,0;call;-100,0;EUR;1,5;67,22;0,0;1,5;-150,0;150,0;30;2026-03-14 18:25:02
lynx;WKL;2026-03-20;68,0;call;-100,0;EUR;1,5;67,22;0,0;1,5;-150,0;150,0;30;2026-03-14 18:25:02
interactive;XND;2026-03-20;222,0;put;-1000,0;USD;0,3;243,81;0,0;0,3;-300,0;300,0;74;2026-03-14 18:25:02
interactive;XND;2026-03-20;240,0;put;1000,0;USD;2,46;243,81;0,0;2,46;2460,0;2460,0;75;2026-03-14 18:25:02
interactive;XSP;2026-03-20;600,0;put;-100,0;USD;0,64;663,22;0,0;0,64;-64,0;64,0;76;2026-03-14 18:25:02
interactive;XSP;2026-03-20;640,0;put;100,0;USD;3,0;663,22;0,0;3,0;300,0;300,0;77;2026-03-14 18:25:02
